epoch,train_loss,val_loss,val_r2,val_mae,val_rmse,learning_rate
130,0.016211,0.017766,0.864564,0.087872,0.130132,0.00039188
131,0.016325,0.017995,0.863245,0.089326,0.130764,0.00038261
132,0.016252,0.018713,0.858270,0.094184,0.133122,0.00037338
133,0.016303,0.018008,0.863162,0.088473,0.130804,0.00036419
134,0.016205,0.017929,0.862656,0.087903,0.131046,0.00035506
135,0.016183,0.018472,0.857596,0.088155,0.133438,0.00034597
136,0.016201,0.018963,0.855574,0.091693,0.134382,0.00033694
137,0.016190,0.020591,0.842365,0.097759,0.140393,0.00032797
138,0.016200,0.017914,0.862239,0.087201,0.131244,0.00031907
139,0.016232,0.019247,0.850906,0.093238,0.136536,0.00031022
140,0.016193,0.017819,0.863414,0.087399,0.130683,0.00030145
141,0.016118,0.018248,0.860716,0.091162,0.131968,0.00029275
142,0.016187,0.017817,0.863380,0.087563,0.130700,0.00028413
143,0.016123,0.018052,0.861673,0.088965,0.131514,0.00027558
144,0.016206,0.018016,0.861864,0.088078,0.131423,0.00026711
145,0.016120,0.018594,0.858117,0.090219,0.133193,0.00025873
146,0.016148,0.018754,0.856562,0.090460,0.133922,0.00025044
147,0.016152,0.017995,0.862643,0.088221,0.131052,0.00024231
148,0.016030,0.019013,0.853179,0.093271,0.135492,0.00023419
149,0.016091,0.017922,0.863556,0.087996,0.130616,0.00022618
150,0.015998,0.018924,0.854122,0.093639,0.135056,0.00021826
151,0.016117,0.018019,0.861559,0.088227,0.131568,0.00021045
152,0.016063,0.017869,0.863567,0.087599,0.130610,0.00020274
153,0.016149,0.018061,0.860900,0.088254,0.131881,0.00019514
154,0.016157,0.018911,0.853962,0.092136,0.135130,0.00018765
155,0.016100,0.017895,0.862954,0.087515,0.130903,0.00018028
156,0.016033,0.017655,0.865308,0.087606,0.129774,0.00017301
157,0.015995,0.017779,0.863396,0.086841,0.130692,0.00016587
158,0.015993,0.017989,0.862227,0.088452,0.131250,0.00015885
159,0.015993,0.017659,0.866058,0.087684,0.129413,0.00015195
160,0.016020,0.017774,0.863510,0.087285,0.130638,0.00014518
161,0.015973,0.017847,0.863332,0.087275,0.130723,0.00013854
162,0.015982,0.017920,0.863129,0.089459,0.130820,0.00013203
163,0.015954,0.017666,0.865529,0.087377,0.129668,0.00012565
164,0.015968,0.017835,0.862730,0.087154,0.131011,0.00011941
165,0.015975,0.017951,0.862189,0.088425,0.131268,0.00011330
166,0.015927,0.017752,0.863934,0.086811,0.130435,0.00010739
167,0.015985,0.017888,0.862721,0.087790,0.131015,0.00010157
168,0.015953,0.017601,0.865884,0.087069,0.129496,0.00009589
169,0.015929,0.017817,0.863126,0.086891,0.130821,0.00009036
170,0.015917,0.017933,0.862351,0.088637,0.131191,0.00008497
171,0.015960,0.017682,0.865334,0.088038,0.129762,0.00007974
172,0.015906,0.017640,0.865120,0.087137,0.129865,0.00007466
173,0.015895,0.017676,0.865026,0.087141,0.129910,0.00006973
174,0.015916,0.017766,0.863732,0.086931,0.130531,0.00006496
175,0.015897,0.017611,0.865518,0.086849,0.129673,0.00006035
176,0.015920,0.017715,0.864228,0.087320,0.130294,0.00005589
177,0.015920,0.017762,0.863626,0.087129,0.130582,0.00005160
178,0.015857,0.017594,0.865540,0.086880,0.129662,0.00004747
179,0.015876,0.017578,0.865479,0.087257,0.129692,0.00004350
180,0.015889,0.017575,0.865846,0.087085,0.129515,0.00003970
181,0.015886,0.017682,0.864635,0.086824,0.130098,0.00003607
182,0.015839,0.017711,0.864839,0.087208,0.130000,0.00003260
183,0.015819,0.017618,0.865237,0.086942,0.129809,0.00002931
184,0.015830,0.017641,0.864835,0.086925,0.130002,0.00002621
185,0.015834,0.017595,0.865284,0.086785,0.129786,0.00002325
186,0.015867,0.017665,0.864523,0.086950,0.130152,0.00002047
187,0.015838,0.017676,0.864565,0.087034,0.130132,0.00001786
188,0.015853,0.017666,0.864504,0.086974,0.130161,0.00001543
