epoch,train_loss,val_loss,val_r2,val_mae,val_rmse,learning_rate
167,0.064245,0.062570,0.644675,0.160857,0.210781,0.00008535
168,0.064127,0.062714,0.639090,0.162016,0.212431,0.00008061
169,0.064213,0.062371,0.636666,0.161799,0.213143,0.00007599
170,0.064015,0.061917,0.648472,0.159968,0.209651,0.00007149
171,0.063940,0.062223,0.642411,0.160899,0.211451,0.00006711
172,0.063988,0.061364,0.652997,0.159385,0.208298,0.00006289
173,0.064004,0.061718,0.645549,0.160010,0.210521,0.00005877
174,0.063807,0.062290,0.645122,0.160885,0.210648,0.00005476
175,0.063811,0.061507,0.650704,0.159536,0.208985,0.00005089
176,0.063733,0.061403,0.649611,0.159521,0.209312,0.00004718
177,0.063638,0.061618,0.651104,0.159240,0.208865,0.00004357
178,0.063760,0.061605,0.647535,0.160001,0.209931,0.00004010
179,0.063672,0.061684,0.649994,0.159692,0.209197,0.00003676
180,0.063593,0.061500,0.646922,0.159923,0.210113,0.00003356
181,0.063462,0.062096,0.645075,0.160892,0.210662,0.00003050
182,0.063512,0.061902,0.640199,0.161048,0.212104,0.00002758
183,0.063466,0.061315,0.652016,0.159265,0.208592,0.00002479
184,0.063442,0.061476,0.647362,0.159769,0.209982,0.00002216
185,0.063358,0.061453,0.647952,0.159827,0.209806,0.00001966
186,0.063307,0.061347,0.648674,0.159745,0.209591,0.00001731
187,0.063297,0.061217,0.650426,0.159515,0.209068,0.00001511
188,0.063332,0.061201,0.651031,0.159210,0.208887,0.00001305
189,0.063272,0.061212,0.648526,0.159542,0.209635,0.00001114
190,0.063165,0.061260,0.649674,0.159537,0.209293,0.00000938
191,0.063174,0.061153,0.652377,0.159161,0.208484,0.00000777
192,0.063220,0.061162,0.652010,0.159257,0.208594,0.00000631
193,0.063164,0.061168,0.651087,0.159235,0.208870,0.00000500
194,0.063140,0.061152,0.651056,0.159220,0.208879,0.00000384
195,0.063146,0.061211,0.650203,0.159417,0.209135,0.00000284
196,0.063119,0.061136,0.650826,0.159253,0.208948,0.00000198
197,0.063140,0.061124,0.651310,0.159173,0.208803,0.00000128
198,0.063096,0.061161,0.651519,0.159181,0.208741,0.00000073
199,0.063088,0.061141,0.651134,0.159178,0.208856,0.00000033
200,0.063101,0.061093,0.651047,0.159167,0.208882,0.00000009
